ESTAGIOID,CARGA_HORARIA,SITUACAO,TIPOESTAGIO,ESTAGIARIO_ID,CLASSIFICACAO,DATA_INICIO,DATA_FIM,ORIENTADOR_FK,CURSOID,MODALIDADE,NIVEL,CURSO,EMPRESAID,EMPRESA,TIPOEMPRESA
6,1920,3,0,3,NULL,2014-02-03,2016-02-02,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",4,"Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER - MG",1
1095,44,3,0,589,NULL,2015-07-13,2015-07-27,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1093,"Paróquia Sagrada Família",NULL
1096,268,3,0,589,0,2015-09-21,2015-12-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
1100,2000,3,0,595,1,2016-01-27,2016-01-27,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
1103,320,3,0,598,0,2015-09-01,2015-12-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
1997,200,3,0,883,NULL,2018-10-01,2019-05-30,885,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1041,"Prefeitura Municipal de Januária ",1
2021,200,3,0,898,NULL,2018-11-15,2019-03-29,900,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
2024,200,3,0,901,0,2018-11-15,2019-03-30,900,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
2249,390,3,0,1085,0,2019-04-01,2019-07-01,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2185,"JW Informática e Cursos",2
2320,200,3,0,1092,0,2019-03-18,2019-05-14,880,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2187,"Lan House e Papelaria Infomax ",2
3166,200,3,0,1097,1,2017-05-01,2017-12-30,1839,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
2289,2000,3,0,1123,0,2019-04-29,2019-06-25,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
2365,308,3,0,1003,0,2019-07-01,2019-10-16,1191,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1041,"Prefeitura Municipal de Januária ",1
